Topics,Actual Topics,senate,Actual Topics,essays,Actual Topics,nytimes
30,,2.122509054908097,,1.6785793699587157,,1.9988000415244067
30_1,30,2.088278066495927,30,1.727331806185452,30,2.03554040959046
30_2,30,2.1126377794936246,30,1.6389848362443118,30,1.9967570723230492
30_3,30,2.116417995531014,30,1.715250580266533,30,2.0308845701948304
30_4,30,2.104847933549871,30,1.7070329910680655,30,2.021602464555661
30_5,30,2.1008052721687593,30,1.6986595051625961,30,1.963597831664128
30_6,30,2.0950197958181116,30,1.6062828106817928,30,2.039405039284011
30_7,30,2.1475710243231942,30,1.5750066267860239,30,1.9745726048095773
30_8,30,2.113965157522268,30,1.6824136457810517,30,1.9673586743607074
30_9,30,2.2427716066419396,30,1.6389992922533254,30,1.9845096064788845
30_10,30,2.1027759175362593,30,1.795831605158007,30,1.9737721419827599
50,,2.167775624562308,,1.7439495749464158,,2.170703972149418
50_1,50,2.113613140293518,50,1.7757045497212294,50,2.3066633631700446
50_2,50,2.183819887982318,50,1.8119648793602083,50,2.1703719029140016
50_3,50,2.1644021255510184,50,1.7449549124656716,50,2.127022706284903
50_4,50,2.1901240000714264,50,1.7973208556720655,50,2.128840881959901
50_5,50,2.250893083914208,50,1.718856963965414,50,2.0966472354149253
50_6,50,2.12310840316924,50,1.6634595640185785,50,2.221582002045362
50_7,50,2.204862850935966,50,1.7438018867881473,50,2.1820588526480953
50_8,50,2.124155084184783,50,1.7670476453103086,50,2.1451841913831604
50_9,50,2.17289761685615,50,1.8087918291611729,50,2.1999632133143305
50_10,50,2.1498800526644497,50,1.6075926630013626,50,2.128705372359456
100,,2.2588504561155855,,1.6943912069757794,,2.40485283426136
100_1,100,2.2722910620488648,100,1.748591908001785,100,2.419566260861707
100_2,100,2.2500127488696737,100,1.7453370719111532,100,2.3957124835103256
100_3,100,2.264239020812122,100,1.621683478087778,100,2.359365902907145
100_4,100,2.283856140678113,100,1.6701336722138933,100,2.4225366051287764
100_5,100,2.238612856465687,100,1.6893441851621407,100,2.3533840070551713
100_6,100,2.2959771643265245,100,1.6747485370846857,100,2.455238367762066
100_7,100,2.2440304592984703,100,1.7176176916603283,100,2.3740444721126566
100_8,100,2.2232961091175243,100,1.6802756087884672,100,2.415372215409774
100_9,100,2.25033558213172,100,1.6936101787090923,100,2.406936072431358
100_10,100,2.2658534174071554,100,1.7025697381384697,100,2.446371955434619
200,,2.2616086129327386,,1.5713438846687584,,2.5352977902899214
200_1,200,2.2910793547326467,200,1.5885954453397877,200,2.522481241860753
200_2,200,2.2545080636903325,200,1.559028484802449,200,2.531513675361033
200_3,200,2.291620274031839,200,1.5719300534388807,200,2.551278506843399
200_4,200,2.2381635235771995,200,1.5535759924096808,200,2.598016226142523
200_5,200,2.25039139045743,200,1.533005633342453,200,2.5160147351810154
200_6,200,2.2604421997078883,200,1.5445350680699206,200,2.5318967779790196
200_7,200,2.28663536224485,200,1.5814660629944064,200,2.535993044166012
200_8,200,2.2168234847927852,200,1.6183894117739077,200,2.529396595320054
200_9,200,2.2997003615751908,200,1.5713785164996472,200,2.544415357793411
200_10,200,2.2267221145172194,200,1.5915341780164487,200,2.4919717422519923
400,,2.218400767650098,,1.3032656608561717,,2.6420353649160715
400_1,400,2.2220672106185706,400,1.289046816595234,400,2.6396564435856136
400_2,400,2.202903577723192,400,1.3018349002504812,400,2.6349156142772134
400_3,400,2.2313682763784484,400,1.3047507129474685,400,2.591594499527249
400_4,400,2.228550462685989,400,1.3007926010839523,400,2.6727531216205644
400_5,400,2.2220511091377166,400,1.3206689038194077,400,2.6874945432761836
400_6,400,2.204061983889305,400,1.299997422292676,400,2.620694840737199
400_7,400,2.2403659438815255,400,1.3125993443150574,400,2.6477835193137236
400_8,400,2.2065938674010637,400,1.273829506539589,400,2.681677119546628
400_9,400,2.2229351690991868,400,1.3328291257008573,400,2.60909439785484
400_10,400,2.2031100756859807,400,1.2963072750169915,400,2.634689549421503
Average,,2.205828903233765,,1.5983059394811678,,2.3503380006282355
