Topics,Actual Topics,senate,Actual Topics,essays,Actual Topics,nytimes
30,,2.0315542492117973,,1.572811275612992,,2.0417950225826407
30_1,21,2.0056322938044766,7,1.508921173300076,6,2.2824970467013617
30_2,5,1.936842090692349,7,1.398131803522649,3,1.820562554030932
30_3,4,1.9673461338195737,7,1.9534336731004942,6,1.793665604307385
30_4,6,1.909716431127321,7,1.8721650824689158,9,2.133857120643268
30_5,4,2.2134012047917437,6,1.4353467440346765,6,1.6366000458123349
30_6,8,2.1255129550161773,5,1.7291924624489532,6,2.094955119386935
30_7,5,1.9421274209273147,5,1.1258175449410264,5,2.342218571781492
30_8,4,2.064414699699908,7,1.2755799559084748,4,1.9703945012235462
30_9,5,2.435759724760866,7,1.5393188348463789,4,2.257600438793294
30_10,3,1.8018986210353132,7,1.8902054815582743,6,2.085599223145858
50,,2.0259211430783814,,1.7321031350972533,,2.0513500882967826
50_1,7,2.264094778817384,13,1.9962719541127651,10,2.056544510144824
50_2,9,1.9698672982679106,11,1.911630368796068,9,2.3509666888199434
50_3,9,2.0221740604509058,8,1.6497512453186405,14,1.9632185884946682
50_4,10,2.092149799985251,9,1.5921291312228891,12,2.005006914030192
50_5,9,2.259624033256961,10,1.6036217999192561,6,1.8632181393865397
50_6,7,1.7548000319099686,10,1.6840232322473738,10,2.193824854503103
50_7,7,2.1231526268202563,11,1.6508956327158848,5,2.0215781474022605
50_8,7,1.8962660126436053,9,1.3572928201860834,10,2.1371784514062226
50_9,8,1.8834726435817153,9,2.3019511084392783,5,1.9474656034001714
50_10,9,1.993610145049857,14,1.5734640580142911,10,1.974498985379903
100,,2.0959673014021765,,1.73277715214746,,2.33979477678776
100_1,15,2.237441075619074,14,1.6280805204265913,14,2.2018007679282787
100_2,18,2.12222924109993,19,1.7676634920589611,19,2.3103313360265507
100_3,18,2.442978610497413,20,1.536140206254363,22,2.4667618068517005
100_4,15,1.7932826903311374,17,1.6672159622564147,23,2.5362914071738354
100_5,16,2.0318763601998002,22,1.9356417381539794,24,2.251971631625914
100_6,19,2.400191669092775,16,1.6067339975609614,19,2.312916014851066
100_7,19,2.419525555073202,17,1.8347504288287673,16,2.475858078195186
100_8,15,1.6925260713579253,23,1.8160079357060057,11,2.0950838065578012
100_9,14,1.8518402397112077,19,1.6830852126753244,25,2.447653302440907
100_10,15,1.9677815010392967,21,1.852452027553232,22,2.2992796162263613
200,,1.9847091588824455,,1.6395174713269085,,2.47586521767182
200_1,45,2.1018648551440475,51,1.7552935398795,32,2.391451983482154
200_2,43,1.9186058218971878,24,1.6968359174934002,33,2.4165824840083214
200_3,39,1.976486111335335,49,1.6013137692558874,34,2.4870293532035697
200_4,36,1.7670838260301251,43,1.4823654716594123,32,2.5836316633946734
200_5,33,2.1065935661640305,54,1.6186426748123997,32,2.641819974694193
200_6,36,2.137620777241001,33,1.541069804221972,31,2.344143756272809
200_7,38,1.9813531285563182,46,1.5888176291749758,31,2.337666917765454
200_8,40,1.9072838956339329,49,1.6876842120334272,43,2.4743433784797753
200_9,35,1.9711313276801405,55,1.7227894604043106,34,2.5667873539473227
200_10,36,1.9790682791423342,37,1.7003622343337987,39,2.515195311469928
400,,1.851170337079801,,1.4367931708425699,,2.390767715413554
400_1,82,1.8304567927015647,68,1.3505938549941192,62,2.302033585548789
400_2,72,1.8795697092982264,81,1.5804643270319683,63,2.3103476041997966
400_3,73,1.8941672682497892,56,1.491107100706788,70,2.4691591462206404
400_4,72,1.9094842867319386,53,1.4667125728677644,72,2.542704382665643
400_5,72,1.8711933875224054,55,1.4742455883677166,59,2.3055260047410844
400_6,78,1.8637692936606407,64,1.4348286943948532,71,2.4773976142674754
400_7,78,1.8212295630614659,79,1.3957072485831663,67,2.353679135774005
400_8,76,1.8939280493209016,75,1.4009424308521738,65,2.3524154512576283
400_9,73,1.7226397968213842,102,1.4086000116330322,69,2.430594013773356
400_10,77,1.825265223429695,60,1.3647298789941167,63,2.363820215687124
Average,,1.9994482394501407,,1.6228004410054366,,2.2599145641505114
