,p,t,df,sd1,sd2,mean1,mean2
senate 30 vs essays 30,0.00031591232866155739,4.44045281886,18,0.17174049376543707,0.26503645514519791,2.0402651575675046,1.5728112756129919
senate 30 vs senate 50,0.85448304251314622,0.186054067768,18,0.17174049376543707,0.154916970530426,2.0402651575675046,2.0259211430783814
essays 30 vs nytimes 30,0.000705679493531649,-4.07817054444,18,0.26503645514519791,0.22085674130028837,1.5728112756129919,2.0417950225826411
essays 30 vs essays 50,0.2092511425240034,-1.30224256516,18,0.26503645514519791,0.25380689091198466,1.5728112756129919,1.7321031350972529
nytimes 30 vs senate 30,0.98709195422569285,0.0164047559053,18,0.22085674130028837,0.17174049376543707,2.0417950225826411,2.0402651575675046
nytimes 30 vs nytimes 50,0.91292444394885086,-0.110897972491,18,0.22085674130028837,0.13429653167249861,2.0417950225826411,2.051350088296783
senate 50 vs essays 50,0.0083039583206806853,2.96436223674,18,0.154916970530426,0.25380689091198466,2.0259211430783814,1.7321031350972529
senate 50 vs senate 100,0.49562167813724534,-0.695503879409,18,0.154916970530426,0.25940004753485102,2.0259211430783814,2.0959673014021765
essays 50 vs nytimes 50,0.0036821439520645016,-3.33536585121,18,0.25380689091198466,0.13429653167249861,1.7321031350972529,2.051350088296783
essays 50 vs essays 100,0.99434081455848811,-0.00719194888374,18,0.25380689091198466,0.12095494769983751,1.7321031350972529,1.7327771521474602
nytimes 50 vs senate 50,0.71417219595078651,0.372087407916,18,0.13429653167249861,0.154916970530426,2.051350088296783,2.0259211430783814
nytimes 50 vs nytimes 100,0.00022617323873425798,-4.59204007559,18,0.13429653167249861,0.1321926573983857,2.051350088296783,2.3397947767877598
senate 100 vs essays 100,0.0012915593604966504,3.8068377042,18,0.25940004753485102,0.12095494769983751,2.0959673014021765,1.7327771521474602
senate 100 vs senate 200,0.24839113003498117,1.19291362574,18,0.25940004753485102,0.10487296861328968,2.0959673014021765,1.984709158882445
essays 100 vs nytimes 100,6.9560570895054954e-09,-10.1633347866,18,0.12095494769983751,0.1321926573983857,1.7327771521474602,2.3397947767877598
essays 100 vs essays 200,0.072341801193692698,1.90895960475,18,0.12095494769983751,0.082764904829630226,1.7327771521474602,1.6395174713269085
nytimes 100 vs senate 100,0.021737023460807279,2.51246494629,18,0.1321926573983857,0.25940004753485102,2.3397947767877598,2.0959673014021765
nytimes 100 vs nytimes 200,0.023253265613426312,-2.48001116958,18,0.1321926573983857,0.098073739282713207,2.3397947767877598,2.4758652176718199
senate 200 vs essays 200,3.8302718700355645e-07,7.75143867624,18,0.10487296861328968,0.082764904829630226,1.984709158882445,1.6395174713269085
senate 200 vs senate 400,0.0030302694217469745,3.42340061417,18,0.10487296861328968,0.051923338616066204,1.984709158882445,1.8511703370798014
essays 200 vs nytimes 200,1.4242634721629363e-13,-19.5515541174,18,0.082764904829630226,0.098073739282713207,1.6395174713269085,2.4758652176718199
essays 200 vs essays 400,1.7809072835698771e-05,5.77811944777,18,0.082764904829630226,0.065026717846271342,1.6395174713269085,1.4367931708425701
nytimes 200 vs senate 200,5.9901282718838081e-09,10.2619561328,18,0.098073739282713207,0.10487296861328968,2.4758652176718199,1.984709158882445
nytimes 200 vs nytimes 400,0.058494111595845041,2.02025199389,18,0.098073739282713207,0.079687362029414011,2.4758652176718199,2.390767715413554
senate 400 vs essays 400,1.3798971154725168e-11,14.9390381916,18,0.051923338616066204,0.065026717846271342,1.8511703370798014,1.4367931708425701
senate 400 vs senate 30,0.0053967754363485635,-3.16180293803,18,0.051923338616066204,0.17174049376543707,1.8511703370798014,2.0402651575675046
essays 400 vs nytimes 400,3.0225771664068802e-16,-27.8256280562,18,0.065026717846271342,0.079687362029414011,1.4367931708425701,2.390767715413554
essays 400 vs essays 30,0.15217062132836037,-1.49526835624,18,0.065026717846271342,0.26503645514519791,1.4367931708425701,1.5728112756129919
nytimes 400 vs senate 400,1.5295677313228998e-12,17.0200245908,18,0.079687362029414011,0.051923338616066204,2.390767715413554,1.8511703370798014
nytimes 400 vs nytimes 30,0.00030330082692046944,4.45889724198,18,0.079687362029414011,0.22085674130028837,2.390767715413554,2.0417950225826411
