0 mr, government, soviet, president, party, political, country, today, people, russian: 0.0
1 music, mr, band, hall, jazz, concert, rock, songs, opera, orchestra: 0.0
2 dr, health, medical, drug, research, care, people, hospital, study, patients: 0.0
3 game, season, league, team, baseball, yankees, year, football, run, games: 0.0
4 share, company, net, lead, reports, sales, earns, loss, million, shares: 0.0
5 art, street, museum, avenue, sunday, center, show, tickets, york, works: 0.0
6 game, team, season, points, coach, play, games, basketball, players, lead: 0.0
7 people, time, don, day, back, years, good, ve, things, didn: 0.0
8 american, war, military, iraq, united, officials, mr, security, israel, states: 0.0
9 mr, court, case, law, federal, judge, justice, lawyer, legal, lawyers: 0.0
10 food, restaurant, wine, minutes, fresh, good, restaurants, add, dinner, chicken: 0.0
11 mr, police, man, officers, death, year, officer, people, fire, yesterday: 0.0
12 water, plant, environmental, river, plants, years, energy, long, land, island: 0.0
13 film, book, mr, life, movie, story, books, man, love, woman: 0.0
14 made, white, fashion, ms, black, blue, design, store, light, red: 0.0
15 tax, money, plan, budget, million, year, pay, workers, government, federal: 0.0
16 mr, theater, ms, show, play, dance, production, stage, broadway, director: 0.0
17 editor, world, history, life, people, letter, american, america, church, article: 0.0
18 building, street, house, year, park, city, room, square, town, manhattan: 0.0
19 mrs, york, father, family, son, wife, university, died, daughter, mother: 0.0
20 company, mr, million, business, executive, amp, companies, chief, president, corporation: 0.0
